,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,deputatskiy,0,RU,1570423427,93,69.3,139.9,7.26,2.06
1,chokurdakh,100,RU,1570423275,88,70.62,147.9,19.34,7.52
2,mar del plata,47,CN,1570423267,46,29.86,90.73,46.61,6.31
3,albany,90,US,1570423264,82,42.65,-73.75,66.2,10.29
4,bambous virieux,40,MU,1570423347,83,-20.26,57.41,77.0,16.11
5,lata,100,IN,1570423428,52,30.78,78.62,42.54,8.88
6,port elizabeth,23,CD,1570423265,49,-7.04,29.76,73.32,14.54
7,rikitea,100,PF,1570423266,86,-23.12,-134.97,73.47,9.46
8,barrow,99,AR,1570423335,82,-38.31,-60.23,54.62,10.58
9,zhigansk,100,RU,1570423429,96,66.77,123.37,29.64,11.3
10,thinadhoo,72,MV,1570423324,73,0.53,72.93,82.57,7.92
11,vaini,40,IN,1570423049,88,15.34,74.49,75.2,6.93
12,mataura,95,NZ,1570423270,51,-46.19,168.86,55.5,14.09
13,bud,0,NO,1570423270,80,62.91,6.91,35.6,4.7
14,berekum,95,GH,1570423430,98,7.45,-2.58,69.87,4.76
15,fort morgan,100,IN,1570423316,64,17.96,79.61,84.93,4.74
16,hithadhoo,78,MV,1570423195,78,-0.6,73.08,82.52,12.71
17,avarua,100,CK,1570423050,56,-21.21,-159.78,71.6,10.29
18,raudeberg,0,NO,1570423431,80,61.99,5.14,41.0,9.17
19,bad salzungen,37,YE,1570423431,37,14.54,44.22,75.27,0.98
20,chuy,0,UY,1570423331,86,-33.69,-53.46,53.63,9.6
21,arraial do cabo,20,BR,1570423274,77,-22.84,-46.65,66.2,14.99
22,laredo,1,US,1570423431,58,27.51,-99.51,82.4,10.29
23,pochutla,90,MX,1570423432,83,15.74,-96.47,77.0,3.04
24,port-gentil,94,GA,1570423432,84,-0.72,8.78,78.31,11.41
25,morehead,90,US,1570423410,100,38.18,-83.43,66.2,8.75
26,east london,37,UG,1570423295,86,3.43,31.7,73.57,3.09
27,cape town,86,CL,1570423266,100,-36.41,-71.9,53.6,3.36
28,sulangan,83,PH,1570423433,71,11.14,123.72,84.07,10.11
29,dingle,82,PH,1570423389,70,11.0,122.67,85.76,9.46
30,jamestown,95,AU,1570423054,50,-33.21,138.6,60.7,17.29
31,abu dhabi,75,JP,1570423349,73,34.51,131.49,79.0,3.36
32,thurso,75,CA,1570423434,93,45.6,-75.25,61.0,6.93
33,hobart,75,AU,1570423206,41,-42.88,147.33,61.0,8.05
34,tromso,75,NO,1570423439,93,69.65,18.96,41.0,27.51
35,bluff,0,AU,1570423289,15,-23.58,149.07,95.97,4.72
36,puerto ayora,40,AR,1570423280,80,-51.62,-69.23,39.2,3.36
37,ribeira grande,52,PT,1570423290,100,41.76,-8.56,57.99,2.24
38,isangel,75,VU,1570423323,74,-19.55,169.27,78.8,11.41
39,lagoa,0,PT,1570423384,72,37.14,-8.45,66.0,2.24
40,new norfolk,75,LR,1570423287,100,6.65,-10.59,75.2,4.63
41,punta arenas,20,PH,1570423281,47,14.18,121.12,95.0,5.82
42,ushuaia,40,AR,1570423269,80,-54.81,-68.31,33.8,23.04
43,ancud,75,CL,1570423320,87,-41.87,-73.83,42.8,4.7
44,half moon bay,75,LR,1570423288,100,6.38,-10.7,75.2,4.63
45,nikolskoye,75,RU,1570423267,92,59.7,30.79,35.01,2.24
46,izhma,95,RU,1570423333,88,65.01,53.91,35.11,2.8
47,bakchar,69,RU,1570423442,64,57.02,82.07,56.83,4.63
48,kaohsiung,75,TW,1570423442,62,22.62,120.31,87.8,12.75
49,saint-philippe,40,CA,1570423059,93,45.36,-73.48,62.01,9.17
50,busselton,2,AU,1570423264,33,-33.64,115.35,72.0,9.55
51,pokhara,26,NP,1570423443,60,28.21,83.99,63.48,7.38
52,shimoda,75,JP,1570423424,73,34.7,138.93,78.01,14.99
53,atuona,0,PF,1570423272,71,-9.8,-139.03,79.98,13.89
54,castro,75,CL,1570423081,87,-42.48,-73.76,42.8,4.7
55,nouadhibou,0,MR,1570423420,88,20.93,-17.03,66.2,9.17
56,prince rupert,1,CA,1570423444,74,52.97,-108.38,43.0,3.36
57,edd,49,ER,1570423405,41,13.93,41.69,92.87,6.22
58,hermanus,16,ZA,1570423270,93,-34.42,19.24,57.0,7.0
59,avera,1,US,1570423333,83,33.19,-82.53,73.4,3.36
60,sao joao da barra,0,IN,1570423300,61,20.51,76.21,83.33,5.59
61,talnakh,90,RU,1570423382,97,69.49,88.39,32.0,8.95
62,lac du bonnet,46,RO,1570423445,87,44.61,23.07,45.0,1.01
63,baturaja,3,ID,1570423446,28,-4.12,104.17,97.37,6.33
64,viedma,69,AR,1570423350,44,-40.81,-62.99,55.81,20.18
65,sao filipe,0,IN,1570423300,61,20.51,76.21,83.33,5.59
66,faya,0,SA,1570423368,39,18.39,42.45,64.4,3.8
67,yavaros,0,MX,1570423446,66,26.7,-109.52,84.0,1.01
68,port alfred,23,CD,1570423291,49,-7.04,29.76,73.32,14.54
69,vostok,0,RU,1570423282,53,46.45,135.83,56.83,7.07
70,funadhoo,100,MV,1570423447,72,6.15,73.27,82.27,6.73
71,pindiga,94,NG,1570423447,92,9.98,10.93,72.51,4.32
72,powell river,90,US,1570423301,93,40.16,-83.08,57.99,4.43
73,qaanaaq,100,GL,1570423272,81,77.48,-69.36,19.39,10.78
74,nardaran,0,AZ,1570423448,82,40.56,50.01,68.0,5.82
75,butaritari,1,KI,1570423269,62,3.07,172.79,84.91,1.86
76,takoradi,78,GH,1570423356,96,4.89,-1.75,72.76,3.58
77,hilo,20,US,1570423284,54,19.71,-155.08,82.4,2.82
78,kelvington,0,CA,1570423449,74,52.16,-103.52,42.09,8.79
79,morant bay,40,JM,1570423449,66,17.9,-76.43,84.2,11.41
80,ixtapa,75,MX,1570423449,83,20.71,-105.21,84.2,2.24
81,malanje,100,AO,1570423450,91,-9.54,16.35,67.6,3.06
82,trujillo,91,VE,1570423450,86,9.37,-70.44,68.97,3.71
83,hasaki,75,JP,1570423266,78,35.73,140.83,75.99,10.29
84,bolobo,100,CD,1570423451,94,-2.17,16.23,72.51,5.57
85,port hardy,23,CD,1570423303,49,-7.04,29.76,73.32,14.54
86,necochea,83,AR,1570423451,59,-38.55,-58.74,60.01,17.0
87,bredasdorp,0,ZA,1570423297,87,-34.53,20.04,53.6,2.24
88,camacha,40,PT,1570423314,78,33.08,-16.33,71.6,11.41
89,saskylakh,85,RU,1570423332,95,71.97,114.09,16.03,3.94
90,palmer,75,AU,1570423452,76,-34.85,139.16,62.01,5.82
91,nassau,90,AT,1570423453,81,46.81,15.34,46.99,2.24
92,sao felix do xingu,0,IN,1570423453,61,20.51,76.21,83.33,5.59
93,georgetown,20,GY,1570423312,94,6.8,-58.16,75.2,2.24
94,kahului,40,US,1570423292,61,20.89,-156.47,80.6,8.05
95,kodiak,1,US,1570423284,76,39.95,-94.76,50.0,8.05
96,katobu,43,ID,1570423212,44,-4.94,122.53,90.51,2.77
97,dzaoudzi,0,YT,1570423455,83,-12.79,45.27,80.6,5.82
98,vao,100,EE,1570423395,82,59.1,26.19,39.52,7.14
99,havre-saint-pierre,90,CA,1570423320,93,50.23,-63.6,41.0,2.24
100,diofior,20,SN,1570423455,94,14.19,-16.66,78.8,5.82
101,coquimbo,0,CL,1570423456,87,-29.95,-71.34,55.99,10.6
102,biak,76,ID,1570423412,87,-0.91,122.88,69.7,4.63
103,mapimi,40,MX,1570423456,32,25.82,-103.85,84.2,16.11
104,portland,90,US,1570422853,87,43.66,-70.25,62.6,10.29
105,lasa,40,CY,1570423166,68,34.92,32.53,71.6,5.82
106,aguimes,40,ES,1570423457,73,27.91,-15.45,71.6,21.92
107,provideniya,90,RU,1570423358,80,64.42,-173.23,35.6,6.71
108,batsfjord,75,NO,1570423457,93,70.63,29.72,37.4,11.41
109,guerrero negro,0,AR,1570423321,76,-24.19,-65.45,51.8,2.75
110,batouri,100,CM,1570423458,97,4.44,14.36,68.61,2.24
111,pitimbu,40,BR,1570423458,83,-7.47,-34.81,77.0,8.05
112,atocha,0,AR,1570423459,71,-24.82,-65.48,53.6,2.24
113,kamenka,98,MD,1570423459,77,48.03,28.7,36.0,1.99
114,kapaa,90,US,1570423298,94,22.08,-159.32,82.4,11.41
115,kucove,61,AL,1570423459,62,40.8,19.92,62.43,6.58
116,itoman,20,JP,1570423460,66,26.12,127.67,86.0,11.41
117,erzin,75,TR,1570423460,60,36.95,36.2,71.6,13.87
118,paramonga,70,PE,1570423460,95,-10.68,-77.82,58.56,9.84
119,lebu,7,ET,1570423268,68,8.96,38.73,61.55,4.63
120,kloulklubed,75,PW,1570423413,66,7.04,134.26,86.0,6.93
121,broome,97,GB,1570423118,93,52.47,1.45,55.0,3.47
122,evensk,100,RU,1570423461,61,61.92,159.24,29.6,9.91
123,cidreira,96,BR,1570423283,87,-30.17,-50.22,57.97,5.64
124,florianopolis,75,BR,1570423462,82,-27.6,-48.55,64.4,10.29
125,puerto madryn,40,AR,1570423462,80,-51.62,-69.23,39.2,3.36
126,dikson,27,RU,1570423159,80,73.51,80.55,24.24,24.25
127,mahebourg,40,MU,1570423270,83,-20.41,57.7,77.0,16.11
128,iqaluit,75,CA,1570423331,93,63.75,-68.52,35.6,10.29
129,tiksi,94,RU,1570423029,90,71.64,128.87,25.53,7.49
130,maple creek,90,US,1570423463,70,46.59,-91.72,48.99,12.75
131,novichikha,0,RU,1570423464,43,52.2,81.39,67.81,10.74
132,soyo,100,AO,1570423464,83,-6.13,12.37,77.41,10.78
133,tuktoyaktuk,90,CA,1570423282,92,69.44,-133.03,30.2,12.75
134,egvekinot,100,RU,1570423315,84,66.32,-179.17,22.44,4.76
135,kenai,1,US,1570423343,48,60.55,-151.26,42.8,4.7
136,karatuzskoye,7,RU,1570423465,74,53.61,92.87,56.51,3.89
137,torbay,20,CA,1570423289,87,47.66,-52.73,45.0,13.87
138,pevek,98,RU,1570423290,78,69.7,170.27,29.35,17.45
139,cayenne,90,GF,1570423466,100,4.94,-52.33,73.4,2.75
140,victoria,75,BN,1570423382,70,5.28,115.24,87.8,3.36
141,nevers,0,FR,1570423466,100,46.99,3.16,46.99,4.7
142,chinhoyi,0,ZW,1570423466,34,-17.36,30.19,76.2,11.7
143,goldap,72,PL,1570423467,86,54.31,22.3,34.86,3.33
144,najran,0,SA,1570423467,35,17.54,44.22,73.4,12.95
145,nizwa,99,OM,1570423467,67,22.93,57.53,74.96,5.32
146,kassala,0,SD,1570423468,56,15.45,36.38,85.53,12.44
147,konevo,59,BG,1570423468,54,41.67,25.61,59.0,1.01
148,chapais,1,CA,1570423327,81,49.78,-74.86,46.4,10.29
149,clyde river,100,NZ,1570423427,86,-45.19,169.32,39.43,5.68
150,narsaq,40,GL,1570423053,32,60.91,-46.05,51.8,13.87
151,tasiilaq,86,GL,1570423268,86,65.61,-37.64,41.0,2.84
152,nanortalik,7,GL,1570423296,73,60.14,-45.24,41.53,5.84
153,mwanza,35,TZ,1570423470,57,-2.52,32.9,74.31,12.08
154,thompson,75,CA,1570423264,93,55.74,-97.86,35.6,8.05
155,carnarvon,2,ZA,1570423351,68,-30.97,22.13,47.87,26.37
156,lorengau,56,PG,1570423281,77,-2.02,147.27,82.75,7.16
157,ndjole,100,GA,1570423336,97,-0.18,10.76,73.74,0.63
158,geraldton,75,CA,1570423314,93,49.72,-86.95,42.8,12.75
159,fereydun kenar,0,IR,1570423471,23,34.37,46.92,62.6,2.44
160,tilichiki,100,RU,1570423471,97,60.47,166.1,33.61,13.18
161,tibiri,9,NE,1570423472,69,13.57,7.05,78.99,6.06
162,vardo,90,US,1570423306,82,39.62,-77.74,68.0,12.75
163,caborca,0,MX,1570423473,86,30.58,-111.1,64.99,5.21
164,leningradskiy,73,RU,1570423339,76,69.38,178.42,24.56,5.59
165,esperance,90,AU,1570423324,77,-33.86,121.89,60.8,12.75
166,fairbanks,90,US,1570423245,86,64.84,-147.72,33.8,12.75
167,mitsamiouli,40,KM,1570423474,69,-11.38,43.28,80.6,11.41
168,kaitangata,99,NZ,1570423299,72,-46.28,169.85,54.0,1.99
169,bluefield,90,US,1570423474,93,37.27,-81.22,66.99,6.24
170,halifax,75,CA,1570423408,87,44.65,-63.58,55.99,18.34
171,ulladulla,90,AU,1570423475,72,-35.36,150.48,68.0,11.41
172,lewisporte,75,CA,1570423475,71,49.25,-55.06,42.8,12.75
173,faanui,96,PF,1570423287,84,-16.48,-151.75,77.01,19.6
174,quatis,94,BR,1570423476,97,-22.41,-44.26,62.85,1.79
175,airai,3,TL,1570423296,46,-8.93,125.41,85.72,6.22
176,laguna,40,BZ,1570423309,94,16.17,-88.94,78.8,2.01
177,sinnamary,0,GF,1570423477,84,5.38,-52.96,80.79,12.73
178,antofagasta,90,CL,1570423477,82,-23.65,-70.4,55.4,3.36
179,mount isa,20,GB,1570423325,93,53.66,-1.85,53.01,10.29
180,yellowknife,90,CA,1570423291,95,62.45,-114.38,35.6,18.34
181,genhe,13,CN,1570423477,44,50.78,121.52,37.48,11.79
182,vagur,96,FO,1570423282,87,61.47,-6.81,49.69,42.68
183,ponta do sol,19,BR,1570423285,93,-0.53,-65.05,73.05,1.99
184,ilulissat,100,GL,1570423375,96,69.22,-51.1,32.0,8.05
185,vila franca do campo,0,IT,1570423268,100,45.18,8.4,55.99,1.12
186,misratah,4,LY,1570423479,57,32.38,15.09,75.18,6.46
187,ulaanbaatar,0,MN,1570423479,32,47.92,106.92,41.0,15.66
188,fomboni,4,KM,1570423400,76,-12.28,43.74,79.51,14.12
189,mizdah,53,LY,1570423445,49,31.45,12.98,62.63,2.21
190,moree,8,AU,1570423480,8,-29.46,149.84,100.4,18.34
191,mys shmidta,100,RU,1570423292,97,62.06,48.62,35.94,10.45
192,yurecuaro,49,MX,1570423480,71,20.33,-102.3,62.14,2.59
193,mae hong son,0,ID,1570423481,70,0.99,120.84,83.8,7.31
194,aksu,0,KZ,1570423481,48,52.04,76.93,62.6,8.95
195,khatanga,8,RU,1570423294,86,71.98,102.47,26.32,8.55
196,sitka,0,US,1570423346,72,37.17,-99.65,48.99,5.99
197,port-cartier,90,CA,1570423405,93,50.03,-66.88,44.01,5.82
198,morondava,0,MG,1570423482,77,-20.3,44.28,78.18,13.11
199,bandarbeyla,5,SO,1570423482,53,9.49,50.81,85.31,11.48
200,severo-kurilsk,0,RU,1570423375,84,50.68,156.12,46.03,14.88
201,waslala,100,NI,1570423483,99,13.33,-85.37,68.08,0.98
202,sobolevo,2,RU,1570423483,82,54.43,31.9,32.07,7.43
203,san patricio,96,ML,1570423266,66,13.3,-4.9,80.5,8.41
204,mabaruma,15,GY,1570423483,98,8.2,-59.78,72.49,0.94
205,kruisfontein,100,ZA,1570423271,88,-34.0,24.73,57.64,7.65
206,taltal,0,CL,1570423484,74,-25.41,-70.49,51.63,2.04
207,cherskiy,57,RU,1570423265,77,68.75,161.3,16.5,3.71
208,koubia,100,GN,1570423484,98,11.59,-11.89,66.48,4.03
209,skovorodino,100,RU,1570423485,60,53.99,123.94,40.54,13.0
210,ahuimanu,90,US,1570423326,69,21.44,-157.84,82.4,4.7
211,nadym,23,RU,1570423485,66,65.53,72.51,38.13,18.88
212,xiaoshi,45,CN,1570423485,53,30.59,116.63,76.4,8.5
213,longyearbyen,75,NO,1570423486,86,78.22,15.63,33.8,16.11
214,upernavik,28,GL,1570423301,76,72.79,-56.15,28.25,6.8
215,smidovich,54,RU,1570423486,48,48.6,133.81,59.66,15.57
216,san policarpo,96,ML,1570423309,66,13.3,-4.9,80.5,8.41
217,tautira,75,PF,1570423358,74,-17.73,-149.15,78.8,9.17
218,oranjemund,20,ZA,1570423421,80,-28.55,16.43,57.34,6.15
219,mayo,90,CA,1570423304,63,63.59,-135.9,30.2,3.36
220,mezen,80,RU,1570423410,86,65.85,44.24,31.54,3.2
221,kavieng,37,PG,1570423316,74,-2.57,150.8,84.14,12.53
222,san joaquin,96,ML,1570423413,66,13.3,-4.9,80.5,8.41
223,kalmunai,100,LK,1570423488,57,7.42,81.82,88.14,2.93
224,sol-iletsk,83,RU,1570423488,26,51.16,55.0,59.34,15.93
225,buala,83,SB,1570423398,79,-8.15,159.59,82.95,11.05
226,goderich,94,CA,1570423388,86,43.74,-81.71,57.99,21.21
227,sao domingos,0,IN,1570423300,61,20.51,76.21,83.33,5.59
228,galveston,75,US,1570423489,82,40.58,-86.19,59.0,3.74
229,saldanha,42,PT,1570423411,51,41.42,-6.55,56.98,1.88
230,bonavista,43,CA,1570423330,87,48.65,-53.11,44.01,8.99
231,naze,100,NG,1570423295,94,5.43,7.07,74.29,3.4
232,san quintin,96,ML,1570423068,66,13.3,-4.9,80.5,8.41
233,sijunjung,44,ID,1570423490,47,-0.69,100.95,84.77,4.41
234,burgeo,83,CA,1570423423,85,47.61,-57.61,50.19,14.09
235,bila tserkva,100,UA,1570423491,77,48.25,28.22,36.0,1.99
236,labuan,75,BN,1570423195,70,5.28,115.24,87.8,3.36
237,hervey bay,20,US,1570423491,69,33.5,-93.78,75.99,5.82
238,inuvik,75,CA,1570423492,86,68.36,-133.71,32.0,6.93
239,caravelas,0,BR,1570423359,87,-17.73,-39.27,72.31,6.87
240,loreto,91,PY,1570423492,96,-23.27,-57.32,62.16,2.44
241,saint-pierre,90,FR,1570423493,100,48.95,4.24,53.6,10.29
242,macas,100,EC,1570423493,97,-2.3,-78.12,47.53,2.3
243,marsh harbour,20,GB,1570423493,93,53.65,-1.81,53.01,10.29
244,katsuura,20,JP,1570423299,53,33.93,134.5,77.0,6.93
245,aldan,99,RU,1570423494,82,58.61,125.39,31.6,11.01
246,doba,0,ET,1570423494,44,9.29,41.09,80.32,1.5
247,omboue,100,GA,1570423290,86,-1.57,9.26,77.98,13.73
248,tarakan,4,ID,1570423495,67,3.3,117.63,84.63,10.8
249,codrington,19,AU,1570423422,13,-28.95,153.24,98.6,5.82
250,deer lake,1,US,1570423496,100,38.62,-91.8,57.99,3.71
251,hornostayivka,62,UA,1570423496,70,47.01,33.73,50.68,6.38
252,srandakan,100,ID,1570423497,83,-7.94,110.25,77.19,15.1
253,bela,0,PK,1570423497,40,26.23,66.31,81.64,2.13
254,praia,0,BR,1570423266,95,-20.25,-43.81,59.71,3.65
255,aconibe,97,GQ,1570423497,95,1.29,10.94,67.72,1.54
256,dumas,20,IN,1570423498,83,21.09,72.71,78.8,8.79
257,virginia beach,1,US,1570423498,93,39.95,-90.21,55.0,5.41
258,vanimo,1,PG,1570423498,70,-2.67,141.3,83.82,9.19
259,paamiut,0,GL,1570423273,77,61.99,-49.67,38.53,18.59
260,inhambane,20,MZ,1570423392,93,-23.87,35.38,62.6,4.7
261,winneba,0,GH,1570423499,94,5.35,-0.62,75.2,6.93
262,teknaf,42,BD,1570423499,75,20.86,92.31,81.78,4.97
263,qui nhon,20,BR,1570423378,78,-10.97,-37.6,77.0,6.93
264,bilma,3,NE,1570423500,45,18.69,12.92,82.83,9.01
265,kavaratti,20,IN,1570423352,70,10.57,72.64,84.2,4.7
266,fortuna,1,US,1570423337,87,40.6,-124.16,55.0,4.7
267,emirdag,16,TR,1570423501,69,39.02,31.15,50.28,2.42
268,nome,1,US,1570423287,88,30.04,-94.42,82.0,0.96
269,bozhou,81,CN,1570423502,53,33.86,115.78,67.85,5.41
270,mehamn,40,NO,1570423297,100,71.03,27.85,41.0,2.24
